gt_thetas,           ,SRP,                   ,GCC
-30,                  ,-40,                 ,-39
-45,                  ,-53,                 ,-52
-60,                  ,-70,                 ,-67
-90,                  ,-66,                 ,-64
0,                  ,-3,                 ,-2
30,                  ,36,                 ,34
45,                  ,47,                 ,45
60,                  ,66,                 ,64
90,                  ,69,                 ,66
